1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,0.03960123,-1,0.060002351,0.054449978,0.046654169,0.044288443,0.090739745,0.056838064,-1,-1,0.051496327,-1,0.056898688,0.052741037,-1,-1,-1,0.075448093,0.072534969,0.077572272,-1,0.064174925,0.040603852,0.042743196,0.03978133,0.036888652,0.031825484,0.032177363,0.040975988,0.041826551,-1,-1,0.231721337,0.213901217,-1,-1,-1,-1,-1,-1,0.258955112,0.167567637,-1,-1,-1
0.03960123,0,-1,0.051407548,0.02196491,0.017558743,0.014464526,0.06197202,0.028070339,-1,-1,0.022761245,-1,0.024794206,0.020326061,-1,-1,-1,0.086357969,0.083443563,0.088482098,-1,0.075083363,0.052206426,0.054294223,0.05231308,0.049019639,0.044727677,0.044994061,0.052635131,0.053620614,-1,-1,0.238270457,0.220450338,-1,-1,-1,-1,-1,-1,0.265504233,0.174116757,-1,-1,-1
-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.060002351,0.051407548,-1,0,0.065933096,0.059133098,0.056677483,0.103260462,0.069358781,-1,-1,0.064021259,-1,0.068337586,0.064216093,-1,-1,-1,0.107570674,0.10465658,0.109694816,-1,0.096296416,0.073259114,0.075359492,0.0731535,0.06997336,0.065648951,0.065935223,0.073663022,0.074612703,-1,-1,0.256801005,0.238980885,-1,-1,-1,-1,-1,-1,0.28403478,0.192647305,-1,-1,-1
0.054449978,0.02196491,-1,0.065933096,0,0.034403985,0.031417066,0.078769785,0.044868104,-1,-1,0.039554312,-1,0.02104165,0.008512391,-1,-1,-1,0.101242536,0.098328144,0.103366666,-1,0.089967945,0.067084227,0.069172515,0.067182303,0.063893257,0.059599032,0.059866138,0.067512071,0.068496113,-1,-1,0.253061014,0.235240894,-1,-1,-1,-1,-1,-1,0.280294789,0.188907314,-1,-1,-1
0.046654169,0.017558743,-1,0.059133098,0.034403985,0,0.00959734,0.051229346,0.017327665,-1,-1,0.012362296,-1,0.037107158,0.032741955,-1,-1,-1,0.093322948,0.090408511,0.095447076,-1,0.082048307,0.059187962,0.061274587,0.059315279,0.056011381,0.051725536,0.051990241,0.059618625,0.060607582,-1,-1,0.245453613,0.227633494,-1,-1,-1,-1,-1,-1,0.272687389,0.181299913,-1,-1,-1
0.044288443,0.014464526,-1,0.056677483,0.031417066,0.00959734,0,0.055076564,0.021174883,-1,-1,0.015959278,-1,0.034134639,0.029757719,-1,-1,-1,0.090969506,0.088055074,0.093093635,-1,0.07969487,0.05683221,0.058918997,0.056956655,0.053654206,0.049367485,0.049632421,0.057262605,0.05825108,-1,-1,0.243070166,0.225250047,-1,-1,-1,-1,-1,-1,0.270303942,0.178916466,-1,-1,-1
0.090739745,0.06197202,-1,0.103260462,0.078769785,0.051229346,0.055076564,0,0.033901681,-1,-1,0.044639017,-1,0.081466704,0.077106591,-1,-1,-1,0.13740276,0.134488321,0.139526888,-1,0.126128117,0.103268858,0.105355408,0.103397521,0.100092945,0.095807513,0.09607211,0.103699646,0.10468883,-1,-1,0.289547457,0.271727338,-1,-1,-1,-1,-1,-1,0.316781233,0.225393757,-1,-1,-1
0.056838064,0.028070339,-1,0.069358781,0.044868104,0.017327665,0.021174883,0.033901681,0,-1,-1,0.010737336,-1,0.047565023,0.04320491,-1,-1,-1,0.103501079,0.10058664,0.105625207,-1,0.092226436,0.069367177,0.071453727,0.06949584,0.066191264,0.061905832,0.062170429,0.069797965,0.070787149,-1,-1,0.255645776,0.237825657,-1,-1,-1,-1,-1,-1,0.282879552,0.191492076,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.031481059,-1,-1,-1,-1,0.028768086,0.018885937,0.036809093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
