species,site,pc1,pc2,pc3,long,lat
Mik,1,1.119011162,-0.999231533,-0.336058933,102.293301,22.888125
Mik,2,0.114750096,0.368509843,-1.513638858,113.300699,23.102953
Mik,3,0.952463983,-0.058683595,-2.992238458,109.910318,19.584144
Mik,4,1.006827646,0.179976727,-2.767952307,109.838543,25.449582
Mik,5,1.119011162,-0.999231533,-0.336058933,113.550113,22.344587
Mik,6,5.519408982,-3.085576574,0.626247986,113.95883,22.652705
Mik,7,0.474527179,0.407760069,-1.991180852,113.825937,22.895345
Mik,8,0.383858138,0.161399515,-1.146732195,114.14334,22.27406
Mik,9,2.352930695,1.042943742,-3.812021004,114.108537,22.400132
Mik,10,7.032686996,-2.350291715,0.143865138,120.491346,22.653888
Mik,11,1.138724888,-1.699635963,-6.41539803,120.80546,24.555097
Mik,12,1.13450964,0.485049473,-3.003881142,114.193333,22.390722
Mik,13,0.282229744,0.563767571,-1.554224593,114.26,22.324056
Mik,14,-0.160771238,0.534269881,-1.028136274,113.563834,22.118473
Mik,15,0.23394339,0.944004959,0.050572872,113.550634,22.205189
Mik,16,4.817552485,-1.376694137,1.673006555,120.974197,23.970597
Mik,17,1.127172884,-1.969395909,-2.163263337,120.449156,23.4869
Mik,18,3.7099807,0.990933001,0.542013073,121.258508,24.825157
Mik,19,4.526608836,0.294467115,-1.386588098,76.606599,10.299041
Mik,20,5.461662622,1.238762646,-2.523055101,75.968448,11.381145
Mik,21,5.375630408,0.714057464,-2.093534489,76.229739,10.061011
Mik,22,5.266543186,0.486062916,-1.686453789,76.345559,9.671992
Mik,23,0.183910007,1.98293535,1.498260184,76.686518,12.416371
Mik,24,0.337501746,2.515361289,-0.38482266,88.626133,26.796513
Mik,25,0.69195997,2.046760263,-0.946168039,88.594684,27.122592
Mik,26,3.35003017,-1.050278933,-0.502668851,91.729988,25.281576
Mik,27,2.688388464,1.23913012,0.906349223,91.005112,26.635149
Mik,28,5.515783684,-1.090822273,0.353771188,94.201103,26.716911
Mik,29,5.280491928,-1.485396679,0.659887451,94.155991,26.937468
Mik,30,3.225878774,0.839382407,-6.897099624,88.487767,22.679404
Mik,31,-0.463159269,-0.154945891,-2.140521674,89.53248,22.778826
Mik,32,1.200871702,-1.251632525,-0.441676893,168.299875,-17.697361
Mik,33,3.683302246,-0.232222595,1.561317768,79.79077,7.576462
Mik,34,8.224600187,-3.132784181,-17.85173093,103.838547,2.433444
Mik,35,2.09079403,1.157448347,-4.099784948,103.139353,3.917345
Mik,36,0.884069933,0.892543028,-2.053750159,110.342159,1.575485
Mik,37,1.394000594,0.702604934,-2.903161901,118.631686,4.245613
Mik,38,1.015974542,0.006494275,-2.952749761,115.214883,-8.658331
Mik,39,0.978671159,0.307319955,-2.53696493,98.667409,3.566492
Mik,40,0.411797587,0.453774466,-1.78391429,106.805259,-6.597047
Mik,41,2.278274931,0.269924783,-2.5018719,124.805733,10.679054
Mik,42,3.259238311,0.456205804,0.465973801,103.863725,1.359717
Mik,43,5.022051263,-1.455076743,1.044083906,100.46933,7.002332
Mik,44,0.401898804,0.551616152,-1.66181773,127.988,26.562
Mik,45,1.122652336,-0.689904451,-2.789660533,127.819,26.376
Mik,46,1.588618485,0.775619179,-3.165777849,127.82,26.376
