1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,642.1137638,-1,639.2799151,659.4321815,657.7987426,647.3414397,906.0926951,687.4643355,-1,-1,679.2874,762.6799286,652.7090558,655.0321091,-1,-1,-1,691.7730461,658.1705392,642.3824125,642.6778505,832.6969827,507.6051056,784.8653624,602.6697894,481.1320091,494.6919513,486.1910542,461.7573813,460.0503785,-1,-1,819.6394725,802.8052991,-1,-1,-1,-1,-1,-1,849.5650524,735.2117896,-1,-1,-1
642.1137638,0,-1,108.723664,24.75071155,23.50790857,12.50004471,272.6729608,54.01831669,-1,-1,45.91050951,129.4301404,18.42223362,20.57896025,-1,-1,-1,559.2233057,525.5620437,509.8330791,510.1314827,700.0813766,378.2647749,654.9229748,474.4178421,354.8217866,382.0756604,374.0227031,332.4690404,330.8127982,-1,-1,553.0873044,536.253131,-1,-1,-1,-1,-1,-1,583.0128846,468.6596215,-1,-1,-1
-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
639.2799151,108.723664,-1,0,125.6959536,125.2918371,114.6301183,373.9196339,155.2812198,-1,-1,147.1307307,230.5718683,118.8936066,121.2498817,-1,-1,-1,557.1434775,523.4909858,507.7531903,508.0511511,698.0113914,375.7926772,652.5517232,471.8317809,352.4269633,380.2048256,372.2063871,329.8917009,328.2200549,-1,-1,542.2993531,525.4651801,-1,-1,-1,-1,-1,-1,572.2249338,457.871661,-1,-1,-1
659.4321815,24.75071155,-1,125.6959536,0,42.02871862,31.03940803,291.2345221,72.57904995,-1,-1,64.47353371,147.9970098,21.5433655,17.58213068,-1,-1,-1,576.5540862,542.8929339,527.163859,527.462257,717.4122806,395.5906163,672.2500653,491.7422481,372.1484364,399.4081048,391.3557789,349.7935923,348.1371595,-1,-1,570.3157482,553.4815737,-1,-1,-1,-1,-1,-1,600.2413285,485.8880661,-1,-1,-1
657.7987426,23.50790857,-1,125.2918371,42.02871862,0,19.82463665,267.5671301,48.73040304,-1,-1,41.14557504,125.4837918,35.7865646,37.90985069,-1,-1,-1,574.8672689,541.2056795,525.4770445,525.775467,715.7249725,393.9235168,670.5780074,490.0808508,370.4783917,397.7164041,389.6616657,348.1315498,346.4758718,-1,-1,569.0252398,552.1910663,-1,-1,-1,-1,-1,-1,598.95082,484.5975568,-1,-1,-1
647.3414397,12.50004471,-1,114.6301183,31.03940803,19.82463665,0,269.222294,50.55998324,-1,-1,42.47208536,126.0291503,24.7995956,26.92190496,-1,-1,-1,564.4194888,530.7579753,515.029264,515.3276803,705.2772775,383.4723158,660.1276647,479.6286616,360.0276829,387.2693542,379.2150274,337.679477,336.0236678,-1,-1,558.5094944,541.6753209,-1,-1,-1,-1,-1,-1,588.4350746,474.0818114,-1,-1,-1
906.0926951,272.6729608,-1,373.9196339,291.2345221,267.5671301,269.222294,0,236.749556,-1,-1,247.8263354,333.4724497,284.9848094,287.111157,-1,-1,-1,823.1457491,789.4840364,773.7555257,774.0539521,964.0033144,642.2075673,918.8606609,738.3665106,618.7616406,645.993682,637.9382733,596.4170215,594.761555,-1,-1,817.4144757,800.5803023,-1,-1,-1,-1,-1,-1,847.3400559,732.9867928,-1,-1,-1
687.4643355,54.01831669,-1,155.2812198,72.57904995,48.73040304,50.55998324,236.749556,0,-1,-1,30.29961479,120.1789387,66.32954087,68.4558057,-1,-1,-1,604.5178548,570.8561458,555.1276314,555.4260575,745.3754242,423.579505,700.2326407,519.7383997,400.1336025,427.3658237,419.3104352,377.7889164,376.1334435,-1,-1,598.7832432,581.9490697,-1,-1,-1,-1,-1,-1,628.7088234,514.3555602,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,0,289.6741402,-1,-1,-1,-1,490.9796334,125.091646,393.0042417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
