,Climate,LULC,Natu.range,Nat.range,Uses,MRT,Nat.con.,Seed,Height,GF
Acacia_auriculiformis,4,7,35,2,18,107,0,-0.4512,1.5635,Tree
Acacia_baileyana,1.8,4.1,35,1,2,2,0,0.3132,1.6849,Shrub
Acacia_cultriformis,1.9,5.2,5,1,1,105.0666667,0,-0.1612,-0.6249,Shrub
Acacia_dealbata,5,8,68,1,13,163,0,-0.5298,-0.7746,Tree
Acacia_decurrens,1.5,2.5,32,1,8,41,0,-0.4619,-1.2315,Tree
Acacia_farnesiana,6.45,8.3,131,9,16,139,0,2.9853,1.9158,Shrub
Acacia_longifolia,1,1,44,1,16,166,0,-0.0505,1.4982,Shrub
Acacia_mearnsii,3,4,59,1,16,60,0,-0.5172,-0.737,Tree
Acacia_melanoxylon,1,2,66,1,8,63,0,-0.5191,1.6355,Tree
Acacia_neriifolia,1,1,3,1,1,6,0,-0.3795,0.137965,Tree
Acacia_paradoxa,2.3,4.95,11,1,2,89.13333333,0,-0.0979,-1.1331,Shrub
Acacia_pulchella,2.75,7.3,2,1,0,163,0,-0.5986,-1.2056,Shrub
Acacia_pycnantha,1,1,15,1,1,2,0,0.1235,2.3778,Shrub
Acacia_saligna,1.7,4.8,39,1,15,63.9,0,0.0075,0.53,Shrub
Acacia_verticillata,1.65,2.3,8,1,1,54.02,0,-0.5593,-0.403715,Tree
Acanthospermum_hispidum,5,3,113,6,1,73,0,0.4203,0.076,Herb
Acer_pseudoplatanus,1,1,53,6,9,32,21,0.2556,0.2735,Tree
Acmella_uliginosa,2,2,8,13,1,61,2,-0.3953,-0.1269,Herb
Aeschynomene_americana,1,3,37,8,6,51,2,0.1179,0.1572,Herb
Agapanthus_africanus,1,1,12,1,1,8,0,0.3523,-0.4707,Herb
Agave_americana,7,11,114,2,12,139,0,0.7556,-0.473,Shrub
Agave_vivipara,1,1,30,1,0,68.225,0,0.4136,1.0202,Herb
Ageratina_adenophora,3,9,68,1,2,60,0,-0.3998,0.076,Herb
Ageratina_ligustrina,2.8,5.65,3,2,0,99.65,0,-0.8184,-0.84327875,Shrub
Ageratum_conyzoides,7,12,168,6,7,184,0,-0.3931,-0.1194,Herb
Ageratum_houstonianum,5,9,98,2,7,118,0,-0.3931,-0.4795,Herb
Agrostis_idahoensis,2.8,5.8,1,12,3,100.7,6,-0.398,-0.2269,Herb
Allocasuarina_littoralis,2,2.55,32,1,0,63.495,0,-0.6233,-0.3554,Tree
Alnus_glutinosa,1,1,38,10,13,46.7,2,-0.6319,1.026,Tree
Alternanthera_brasiliana,2,3,33,6,1,15,1,-0.0784,-0.1177,Herb
Alternanthera_pungens,3,4,127,3,1,75,1,-0.3522,-0.0806,Herb
Amaranthus_hybridus,1,1,215,9,3,173,6,-0.3501,-0.1269,Herb
Amaranthus_palmeri,3.7,5.35,55,4,1,87.5,6,-0.373,-0.0371,Herb
Ambrosia_artemisiifolia,2,2,133,11,4,245,0,0.0387,-0.165,Herb
Anacardium_occidentale,4,11,95,3,5,136,0,-0.5426,-0.5865,Tree
Annona_glabra,2,3,18,9,4,122,0,1.5756,-0.3868,Tree
Anoda_cristata,4.05,8,70,9,1,168,0,0.7093,0.076,Herb
Anthoxanthum_odoratum,4.75,5.8,163,14,4,113.8,1,-0.3466,-0.4393,Herb
Antigonon_leptopus,6,13,135,2,3,73,0,1.8116,-0.219995,Vine
Antirrhinum_majus,2,2,92,4,1,1,0,-0.392,-0.2892,Herb
Apium_graveolens,3,5,108,10,1,64,0,-0.3618,-0.1066,Herb
Areca_catechu,4,9,3,1,13,222,1,0.2206,0.4885,Tree
Argemone_mexicana,8,15,164,6,6,181,0,-0.1945,0.4006,Herb
Argemone_ochroleuca,1,1,104,1,3,65.65,0,-0.1164,0.0354,Herb
Aristea_ecklonii,2.25,2.4,9,4,0,76.25,0,-0.2726,-0.1675,Herb
Asparagus_officinalis,2,4,130,12,2,62,10,1.6298,0.218,Herb
Axonopus_compressus,2.2,1,87,9,4,51,0,-0.363,-0.3259,Herb
Axonopus_fissifolius,3.4,4.95,56,10,5,66,0,-0.3652,-0.4261,Herb
Begonia_cucullata,2,3,43,2,2,1,63,-0.4054,-0.5135,Herb
Bellis_perennis,6,10,97,8,2,61,0,-0.3931,-0.5286,Herb
Bidens_aristosa,2.2,3.2,20,4,0,56.45,1,-0.1722,0.2654,Herb
Bidens_biternata,6,7,39,12,1,146,1,-0.0717,0.2789,Herb
Bidens_pilosa,6,12,254,8,4,153,1,-0.2141,0.076,Herb
Boerhavia_erecta,2,3,63,17,0,59,3,-0.2179,-0.034149,Herb
Brachiaria_brizantha,3.216666667,4.727272727,53,6,2,79.3,0,0.1391,-0.0524,Herb
Brachiaria_decumbens,2.55,3.75,60,2,4,48.15,0,-0.0192,-0.1147,Herb
Brassica_tournefortii,4,6.55,73,8,1,116.45,0,-0.2614,-0.0863,Herb
Briza_maxima,1,2,104,5,1,102,1,-0.0941,-0.3054,Herb
Briza_minor,2,2,166,5,1,81,1,-0.3708,-0.4921,Herb
Bromus_catharticus,2.3,1,195,4,0,72,7,0.6334,0.0413,Herb
Bromus_diandrus,4,4.55,126,8,0,90.05,7,0.764,-0.3298,Herb
Broussonetia_papyrifera,3,8,74,5,16,63,0,-0.6248,-0.5865,Tree
Bryophyllum_pinnatum,5.2,7.35,178,1,3,121,0,-0.3998,0.076,Herb
Buddleja_davidii,2.45,6.45,99,1,2,41,5,-0.8305,0.2436,Shrub
Cabomba_caroliniana,2.25,2.7,40,7,7,67.55,0,-0.2789,-0.3704,Herb
Caesalpinia_gilliesii,1,1,50,2,2,89,3,2.7995,0.74,Vine
Callistemon_citrinus,4,4,9,1,1,16,0,-0.8309,-0.3939,Shrub
Callistemon_viminalis,3,3,11,1,1,20,0,-0.8173,0.0218,Shrub
Callitris_rhomboidea,1.7,2.7,4,1,1,67,0,-0.586,-0.5865,Tree
Calluna_vulgaris,3.7,6.55,33,9,3,87.05,0,-0.8342,-1.0407,Shrub
Calopogonium_mucunoides,1,1,40,5,7,36,0,-0.5727,-0.408205,Vine
Calyptocarpus_vialis,5,11,42,4,0,9,0,-0.2514,-0.00424,Herb
Camellia_sinensis,3,3,15,3,4,179,3,0.0523,0.068,Shrub
Canna_indica,8,18,176,7,3,175,0,-0.0086,0.339,Herb
Capsella_bursa-pastoris,8,13,301,12,2,173,0,-0.3953,-0.2237,Herb
Cardamine_flexuosa,2,7,117,6,0,138,2,-0.3933,-0.3704,Herb
Cassia_javanica,2,4,11,5,7,71,1,1.9354,-0.258225,Tree
Castanea_sativa,4,4,22,5,2,125,0,-0.5534,0.4885,Tree
Castanospermum_australe,3,4,1,2,3,163,0,0.117135,-1.0917,Tree
Casuarina_equisetifolia,5,4,135,6,14,153,0,-0.5967,1.5635,Tree
Casuarina_glauca,1.8,2.65,22,1,12,58.8,0,-0.6161,-0.049,Tree
Catalpa_bignonioides,1.1,3.2,44,2,2,61.3,0,-0.4192,0.4885,Tree
Catharanthus_roseus,8,21,236,1,4,164,1,-0.2503,-0.1239,Herb
Celtis_sinensis,1.65,3.85,18,2,2,71.7,3,-0.2809,0.2735,Tree
Cenchrus_echinatus,3.8,2.8,136,8,0,18,12,1.5126,-0.1249,Herb
Centaurea_calcitrapa,2,4,88,6,0,1,2,-0.1498,-0.2486,Herb
Centaurea_melitensis,4.7,5.55,160,3,2,105.7,0,-0.2514,-0.1675,Herb
Centratherum_punctatum,7,14,31,8,4,42,0,-0.2067,0.075905,Herb
Centrosema_pubescens,1,1,42,3,1,61,0,0.139,-0.10727,Vine
Centrosema_virginianum,2.9,3.43,6,10,4,102.55,0,-0.4692,0.55968,Vine
Cestrum_aurantiacum,2,2,18,2,1,83,0,-0.8577,-0.1649,Vine
Cestrum_diurnum,1,4,12,1,4,42,0,-0.7517,0.299,Shrub
Cestrum_fasciculatum,2.4,5.05,6,1,1,83,0,-0.7349,-0.72249,Shrub
Cestrum_nocturnum,7,13,52,3,4,75,0,-0.6652,0.068,Shrub
Chenopodium_album,12,19,299,9,4,172,1,-0.3395,-0.2324,Herb
Chloris_gayana,5.3,7.6,169,7,2,101.65,1,-0.373,0.0484,Herb
Chloris_pycnothrix,3.1,5.2,12,11,2,78.05,1,-0.3867,-0.3671,Herb
Chromolaena_odorata,5,13,70,9,7,97,0,-0.8147,-0.4162,Shrub
Cinnamomum_camphora,2,3,39,1,16,154,8,0.4022,-0.049,Tree
Cirsium_arvense,9,12,107,13,2,173,1,-0.2681,0.0704,Herb
Citharexylum_spinosum,3,5,8,3,1,205,0,0.6701,-0.5311,Tree
Citrullus_lanatus,6,13,152,3,2,92.05,1,2.0697,-0.7314,Vine
Clematis_vitalba,2.8,4.05,32,8,1,184,15,-0.9425,3.8242,Vine
Cleome_rutidosperma,2.8,5,50,5,4,11,0,-0.1247,-0.0611,Herb
Clianthus_puniceus,2.916666667,3.7,1,1,1,80.25,0,0.3523,0.0645725,Herb
Clidemia_hirta,3,3,43,4,2,72.08333333,0,-0.8342,-1.03,Shrub
Cocos_nucifera,6,15,69,4,7,183,0,0.0683,0.3045,Tree
Corymbia_citriodora,2,3,23,1,15,56,0,-0.587,2.1009,Tree
Cosmos_bipinnatus,9,13,121,2,2,156.1,0,0.4304,0.2383,Herb
