species,genus,family,species.relative,genus.relative
Acacia auriculiformis,Acacia,Fabaceae,,
Acacia baileyana,Acacia,Fabaceae,,
Acacia cultriformis,Acacia,Fabaceae,,
Acacia dealbata,Acacia,Fabaceae,,
Acacia decurrens,Acacia,Fabaceae,,
Acacia farnesiana,Acacia,Fabaceae,,
Acacia longifolia,Acacia,Fabaceae,,
Acacia mearnsii,Acacia,Fabaceae,,
Acacia melanoxylon,Acacia,Fabaceae,,
Acacia neriifolia,Acacia,Fabaceae,,
Acacia paradoxa,Acacia,Fabaceae,,
Acacia pulchella,Acacia,Fabaceae,,
Acacia pycnantha,Acacia,Fabaceae,,
Acacia saligna,Acacia,Fabaceae,,
Acacia verticillata,Acacia,Fabaceae,,
Acanthospermum hispidum,Acanthospermum,Asteraceae,,
Acer pseudoplatanus,Acer,Sapindaceae,,
Acmella uliginosa,Acmella,Asteraceae,,
Aeschynomene americana,Aeschynomene,Fabaceae,,
Agapanthus africanus,Agapanthus,Amaryllidaceae,,
Agave americana,Agave,Asparagaceae,,
Agave vivipara,Agave,Asparagaceae,,
Ageratina adenophora,Ageratina,Asteraceae,,
Ageratina ligustrina,Ageratina,Asteraceae,,
Ageratum conyzoides,Ageratum,Asteraceae,,
Ageratum houstonianum,Ageratum,Asteraceae,,
Agrostis idahoensis,Agrostis,Poaceae,,
Allocasuarina littoralis,Allocasuarina,Casuarinaceae,,
Alnus glutinosa,Alnus,Betulaceae,,
Alternanthera brasiliana,Alternanthera,Amaranthaceae,,
Alternanthera pungens,Alternanthera,Amaranthaceae,,
Amaranthus hybridus,Amaranthus,Amaranthaceae,,
Amaranthus palmeri,Amaranthus,Amaranthaceae,,
Ambrosia artemisiifolia,Ambrosia,Asteraceae,,
Anacardium occidentale,Anacardium,Anacardiaceae,,
Annona glabra,Annona,Annonaceae,,
Anoda cristata,Anoda,Malvaceae,,
Anthoxanthum odoratum,Anthoxanthum,Poaceae,,
Antigonon leptopus,Antigonon,Polygonaceae,,
Antirrhinum majus,Antirrhinum,Plantaginaceae,,
Apium graveolens,Apium,Apiaceae,,
Areca catechu,Areca,Arecaceae,,
Argemone mexicana,Argemone,Papaveraceae,,
Argemone ochroleuca,Argemone,Papaveraceae,,
Aristea ecklonii,Aristea,Iridaceae,,
Asparagus officinalis,Asparagus,Asparagaceae,,
Axonopus compressus,Axonopus,Poaceae,,
Axonopus fissifolius,Axonopus,Poaceae,,
Begonia cucullata,Begonia,Begoniaceae,,
Bellis perennis,Bellis,Asteraceae,,
Bidens aristosa,Bidens,Asteraceae,,
Bidens biternata,Bidens,Asteraceae,,
Bidens pilosa,Bidens,Asteraceae,,
Boerhavia erecta,Boerhavia,Nyctaginaceae,,
Brachiaria brizantha,Brachiaria,Poaceae,,
Brachiaria decumbens,Brachiaria,Poaceae,,
Brassica tournefortii,Brassica,Brassicaceae,,
Briza maxima,Briza,Poaceae,,
Briza minor,Briza,Poaceae,,
Bromus catharticus,Bromus,Poaceae,,
Bromus diandrus,Bromus,Poaceae,,
Broussonetia papyrifera,Broussonetia,Moraceae,,
Bryophyllum pinnatum,Bryophyllum,Crassulaceae,,
Buddleja davidii,Buddleja,Scrophulariaceae,,
Cabomba caroliniana,Cabomba,Cabombaceae,,
Caesalpinia gilliesii,Caesalpinia,Fabaceae,,
Callistemon citrinus,Callistemon,Myrtaceae,,
Callistemon viminalis,Callistemon,Myrtaceae,,
Callitris rhomboidea,Callitris,Cupressaceae,,
Calluna vulgaris,Calluna,Ericaceae,,
Calopogonium mucunoides,Calopogonium,Fabaceae,,
Calyptocarpus vialis,Calyptocarpus,Asteraceae,,
Camellia sinensis,Camellia,Theaceae,,
Canna indica,Canna,Cannaceae,,
Capsella bursa-pastoris,Capsella,Brassicaceae,,
Cardamine flexuosa,Cardamine,Brassicaceae,,
Cassia javanica,Cassia,Fabaceae,,
Castanea sativa,Castanea,Fagaceae,,
Castanospermum australe,Castanospermum,Fabaceae,,
Casuarina equisetifolia,Casuarina,Casuarinaceae,,
Casuarina glauca,Casuarina,Casuarinaceae,,
Catalpa bignonioides,Catalpa,Bignoniaceae,,
Catharanthus roseus,Catharanthus,Apocynaceae,,
Celtis sinensis,Celtis,Cannabaceae,,
Cenchrus echinatus,Cenchrus,Poaceae,,
Centaurea calcitrapa,Centaurea,Asteraceae,,
Centaurea melitensis,Centaurea,Asteraceae,,
Centratherum punctatum,Centratherum,Asteraceae,,
Centrosema pubescens,Centrosema,Fabaceae,,
Centrosema virginianum,Centrosema,Fabaceae,,
Cestrum aurantiacum,Cestrum,Solanaceae,,
Cestrum diurnum,Cestrum,Solanaceae,,
Cestrum fasciculatum,Cestrum,Solanaceae,,
Cestrum nocturnum,Cestrum,Solanaceae,,
Chenopodium album,Chenopodium,Amaranthaceae,,
Chloris gayana,Chloris,Poaceae,,
Chloris pycnothrix,Chloris,Poaceae,,
Chromolaena odorata,Chromolaena,Asteraceae,,
Cinnamomum camphora,Cinnamomum,Lauraceae,,
Cirsium arvense,Cirsium,Asteraceae,,
Citharexylum spinosum,Citharexylum,Verbenaceae,,
Citrullus lanatus,Citrullus,Cucurbitaceae,,
Clematis vitalba,Clematis,Ranunculaceae,,
Cleome rutidosperma,Cleome,Cleomaceae,,
Clianthus puniceus,Clianthus,Fabaceae,,
Clidemia hirta,Clidemia,Melastomataceae,,
Cocos nucifera,Cocos,Arecaceae,,
Corymbia citriodora,Corymbia,Myrtaceae,,
Cosmos bipinnatus,Cosmos,Asteraceae,,
Cosmos sulphureus,Cosmos,Asteraceae,,
Cotula australis,Cotula,Asteraceae,,
Crassocephalum crepidioides,Crassocephalum,Asteraceae,,
Crepis sancta,Crepis,Asteraceae,,
Crotalaria incana,Crotalaria,Fabaceae,,
Crotalaria micans,Crotalaria,Fabaceae,,
Croton bonplandianus,Croton,Euphorbiaceae,,
Croton hirtus,Croton,Euphorbiaceae,,
Cryptostegia grandiflora,Cryptostegia,Apocynaceae,,
Cryptostegia madagascariensis,Cryptostegia,Apocynaceae,,
Cupressus arizonica,Cupressus,Cupressaceae,,
Cuscuta campestris,Cuscuta,Convolvulaceae,,
Cyanus segetum,Cyanus,Asteraceae,,
Cyclospermum leptophyllum,Cyclospermum,Apiaceae,,
Cymbalaria muralis,Cymbalaria,Plantaginaceae,,
Cyperus alternifolius,Cyperus,Cyperaceae,,
Cyperus involucratus,Cyperus,Cyperaceae,,
Cyperus papyrus,Cyperus,Cyperaceae,,
Cytisus hirsutus,Cytisus,Fabaceae,,
Cytisus multiflorus,Cytisus,Fabaceae,,
Cytisus proliferus,Cytisus,Fabaceae,,
Cytisus scoparius,Cytisus,Fabaceae,,
Dalbergia melanoxylon,Dalbergia,Fabaceae,,
Datura ferox,Datura,Solanaceae,,
Datura innoxia,Datura,Solanaceae,,
Datura stramonium,Datura,Solanaceae,,
Daucus carota,Daucus,Apiaceae,,
Delonix regia,Delonix,Fabaceae,,
Desmanthus virgatus,Desmanthus,Fabaceae,,
Desmodium scorpiurus,Desmodium,Fabaceae,,
Desmodium tortuosum,Desmodium,Fabaceae,,
Desmodium uncinatum,Desmodium,Fabaceae,,
Dianthus barbatus,Dianthus,Caryophyllaceae,,
Digitalis purpurea,Digitalis,Plantaginaceae,,
Digitaria eriantha,Digitaria,Poaceae,,
Dillenia suffruticosa,Dillenia,Dilleniaceae,,
Dimorphotheca pluvialis,Dimorphotheca,Asteraceae,,
Diodella teres,Diodella,Rubiaceae,,
Diplotaxis muralis,Diplotaxis,Brassicaceae,,
Dolichandra unguis-cati,Dolichandra,Bignoniaceae,,
Dorstenia contrajerva,Dorstenia,Moraceae,,
Drymaria cordata,Drymaria,Caryophyllaceae,,
Duranta erecta,Duranta,Verbenaceae,,
Dysphania ambrosioides,Dysphania,Amaranthaceae,,
Echinochloa crus-galli,Echinochloa,Poaceae,,
Echinochloa crus-pavonis,Echinochloa,Poaceae,,
Eclipta prostrata,Eclipta,Asteraceae,,
Ehrharta erecta,Ehrharta,Poaceae,,
Eichhornia crassipes,Eichhornia,Pontederiaceae,,
Emex australis,Emex,Polygonaceae,,
Emex spinosa,Emex,Polygonaceae,,
Eragrostis curvula,Eragrostis,Poaceae,,
Eragrostis superba,Eragrostis,Poaceae,,
Eragrostis tef,Eragrostis,Poaceae,,
Eremochloa ophiuroides,Eremochloa,Poaceae,,
Erigeron annuus,Erigeron,Asteraceae,,
Erigeron bonariensis,Erigeron,Asteraceae,,
Erigeron canadensis,Erigeron,Asteraceae,,
Erigeron sumatrensis,Erigeron,Asteraceae,,
Eriochloa fatmensis,Eriochloa,Poaceae,,
Eryngium foetidum,Eryngium,Apiaceae,,
Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,
Eucalyptus globulus,Eucalyptus,Myrtaceae,,
Eugenia uniflora,Eugenia,Myrtaceae,,
Eupatorium capillifolium,Eupatorium,Asteraceae,,
Euphorbia cyathophora,Euphorbia,Euphorbiaceae,,
Euphorbia heterophylla,Euphorbia,Euphorbiaceae,,
Euphorbia hirta,Euphorbia,Euphorbiaceae,,
Euphorbia hypericifolia,Euphorbia,Euphorbiaceae,,
Euphorbia hyssopifolia,Euphorbia,Euphorbiaceae,,
Euphorbia mauritanica,Euphorbia,Euphorbiaceae,,
Euphorbia prostrata,Euphorbia,Euphorbiaceae,,
Euphorbia serpens,Euphorbia,Euphorbiaceae,,
Falcataria moluccana,Falcataria,Fabaceae,,
Flaveria bidentis,Flaveria,Asteraceae,,
Flaveria trinervia,Flaveria,Asteraceae,,
