pop	cluster	region
AU1	Cluster.4	SPO
AU1	Cluster.1	SPO
AU1	Cluster.1	SPO
AU1	Cluster.1	SPO
AU1	Cluster.1	SPO
AU1	Cluster.4	SPO
AU1	Cluster.1	SPO
AU1	Cluster.1	SPO
AU1	Cluster.1	SPO
AU1	Cluster.4	SPO
AU1	Cluster.1	SPO
AU1	Cluster.1	SPO
AU1	Cluster.1	SPO
AU1	Cluster.1	SPO
AU2	Cluster.1	SPO
AU2	Cluster.1	SPO
AU2	Cluster.1	SPO
AU2	Cluster.1	SPO
AU2	Cluster.1	SPO
AU2	Cluster.1	SPO
AU2	Cluster.4	SPO
AU2	Cluster.1	SPO
AU2	Cluster.1	SPO
AU2	Cluster.1	SPO
AU2	Cluster.1	SPO
AU2	Cluster.1	SPO
AU2	Cluster.1	SPO
AU2	Cluster.1	SPO
CH1	Cluster.2	N-SCS
CH1	Cluster.3	N-SCS
CH1	Cluster.3	N-SCS
CH1	Cluster.3	N-SCS
CH1	Cluster.3	N-SCS
CH1	Cluster.3	N-SCS
CH1	Cluster.3	N-SCS
CH1	Cluster.3	N-SCS
CH1	Cluster.3	N-SCS
CH1	Cluster.3	N-SCS
CH2	Cluster.3	N-SCS
CH2	Cluster.3	N-SCS
CH2	Cluster.3	N-SCS
CH2	Cluster.3	N-SCS
CH2	Cluster.3	N-SCS
CH2	Cluster.3	N-SCS
CH2	Cluster.3	N-SCS
CH2	Cluster.3	N-SCS
CH2	Cluster.3	N-SCS
CH2	Cluster.3	N-SCS
CH2	Cluster.3	N-SCS
CH2	Cluster.3	N-SCS
CH2	Cluster.3	N-SCS
CH3	Cluster.3	N-SCS
CH3	Cluster.3	N-SCS
CH3	Cluster.3	N-SCS
CH3	Cluster.3	N-SCS
CH3	Cluster.3	N-SCS
CH3	Cluster.3	N-SCS
CH3	Cluster.3	N-SCS
CH3	Cluster.3	N-SCS
CH3	Cluster.3	N-SCS
CH4	Cluster.2	NPO
CH4	Cluster.2	NPO
CH4	Cluster.2	NPO
CH4	Cluster.2	NPO
CH4	Cluster.2	NPO
CH4	Cluster.2	NPO
CH4	Cluster.2	NPO
CM1	Cluster.6	S-SCS
CM1	Cluster.6	S-SCS
CM1	Cluster.6	S-SCS
CM1	Cluster.6	S-SCS
CM1	Cluster.6	S-SCS
CM1	Cluster.6	S-SCS
CM1	Cluster.6	S-SCS
CM1	Cluster.6	S-SCS
CM1	Cluster.6	S-SCS
CM1	Cluster.6	S-SCS
CM1	Cluster.6	S-SCS
CM1	Cluster.6	S-SCS
ID1	Cluster.6	WIO
ID1	Cluster.4	WIO
ID1	Cluster.4	WIO
ID1	Cluster.4	WIO
ID1	Cluster.4	WIO
ID1	Cluster.4	WIO
ID1	Cluster.4	WIO
ID1	Cluster.4	WIO
ID1	Cluster.4	WIO
ID1	Cluster.4	WIO
ID1	Cluster.4	WIO
ID1	Cluster.4	WIO
ID1	Cluster.4	WIO
ID1	Cluster.6	WIO
ID2	Cluster.4	WIO
ID2	Cluster.4	WIO
ID2	Cluster.4	WIO
ID2	Cluster.4	WIO
ID2	Cluster.4	WIO
ID2	Cluster.4	WIO
ID2	Cluster.4	WIO
ID2	Cluster.4	WIO
IN1	Cluster.4	WIO
IN1	Cluster.4	WIO
IN1	Cluster.4	WIO
IN1	Cluster.4	WIO
IN1	Cluster.4	WIO
IN1	Cluster.4	WIO
IN1	Cluster.4	WIO
IN1	Cluster.4	WIO
IN1	Cluster.4	WIO
